term,date,slot,room,teacher,subjectcode,sessionnumber,studentgroup,,,Note,SlotType,Type
SU22,2022-06-22,2,G401,vinhdk,570,28,GBC0904,,,,,0
SU22,2022-06-24,1,G401,vinhdk,570,29,GBC0904,,,,,0
SU22,2022-06-24,2,G401,vinhdk,570,30,GBC0904,,,,,0
SU22,2022-06-27,1,G401,vinhdk,570,31,GBC0904,,,,,0
SU22,2022-06-27,2,G401,vinhdk,570,32,GBC0904,,,,,0
SU22,2022-06-29,1,G401,vinhdk,570,33,GBC0904,,,,,0
SU22,2022-06-29,2,G401,vinhdk,570,34,GBC0904,,,,,0
SU22,2022-07-01,1,G401,vinhdk,570,35,GBC0904,,,,,0
SU22,2022-07-01,2,G401,vinhdk,570,36,GBC0904,,,,,0
SU22,2022-07-11,1,G401,vinhdk,570,37,GBC0904,,,,,0
SU22,2022-07-11,2,G401,vinhdk,570,38,GBC0904,,,,,0
SU22,2022-07-13,1,G401,vinhdk,570,39,GBC0904,,,,,0
SU22,2022-07-13,2,G401,vinhdk,570,40,GBC0904,,,,,0
SU22,2022-05-23,5,G502,duyenntn,5039,1,GBC0905,,,,,0
SU22,2022-05-23,6,G502,duyenntn,5039,2,GBC0905,,,,,0
SU22,2022-05-25,5,G502,duyenntn,5039,3,GBC0905,,,,,0
SU22,2022-05-25,6,G502,duyenntn,5039,4,GBC0905,,,,,0
SU22,2022-05-27,5,G502,duyenntn,5039,5,GBC0905,,,,,0
SU22,2022-05-27,6,G502,duyenntn,5039,6,GBC0905,,,,,0
SU22,2022-05-30,5,G502,duyenntn,5039,7,GBC0905,,,,,0
SU22,2022-05-30,6,G502,duyenntn,5039,8,GBC0905,,,,,0
SU22,2022-06-01,5,G502,duyenntn,5039,9,GBC0905,,,,,0
SU22,2022-06-01,6,G502,duyenntn,5039,10,GBC0905,,,,,0
SU22,2022-06-03,5,G502,duyenntn,5039,11,GBC0905,,,,,0
SU22,2022-06-03,6,G502,duyenntn,5039,12,GBC0905,,,,,0
SU22,2022-06-06,5,G502,duyenntn,5039,13,GBC0905,,,,,0
SU22,2022-06-06,6,G502,duyenntn,5039,14,GBC0905,,,,,0
SU22,2022-06-08,5,G502,duyenntn,5039,15,GBC0905,,,,,0
SU22,2022-06-08,6,G502,duyenntn,5039,16,GBC0905,,,,,0
